Sirbmá	Sirma_(Tana)
Girkonjárga	Kjerkeneset_(Lebesby)
Gávvir	Kågen_(Skjervøy)
Gárjil	Kariel_(Vadsø)
Čáhcesuolu	Vadsø_(Vadsø)
Sállir	Kvaløya_(Tromsø)
doaris	tverr-
ain	enda
soffá	sofa
ságá	saga
Itália	Italia
Amerihká	Amerika
Afrihká	Afrika
diktit	la
rihkku	komma
bures	bra
ráhpat	bra
fávdnát	bra
beahttit	bedra
bagadit	oppdra
rájes	fra
hoammá	same_vestfra
nuortalaš	person_som_er_østfra
liigi	ekstra
dohkkehit	godta
geahcat	ordne_kofta
geardut	gjenta
nággár	sta
pizza	pizza
gumppus	blodklubb
movttáskit	bli_glad
mearkkašupmi	merknad
ohcan	søknad
gollu	kostnad
bunáda	bunad
gessot	bli_dradd
buolva	slektledd
árgi	redd
suorganit	bli_redd
guorbat	bli_svidd
vuorbi	lodd
vuorbádit	kaste_lodd
vádjit	underskudd
šlahtti	sludd
earru	avskjed
márkan	marked
amas	fremmed
vieris	fremmed
seaivut	dale_ned
lapmat	huke_seg_ned
njiedjat	gå_ned
mopeda	moped
ráfi	fred
leahpu	fred
sadji	sted
divohat	verksted
oadju	trygd
ráidu	raid
verddevuohta	samarbeid
astu	fritid
jahkodat	årstid
gallji	vid
viiddis	vid
láđis	mild
eaktudit	ta_forbehold
guomu	mageinnhold
jearga	føreforhold
vuopmi	skogland
Irlánda	Irland
Hollánda	Nederland
Islánda	Island
gáddi	strand
stánda	stand
čalmmeheapme	blind
čalmmehuvvat	bli_blind
háldi	skytsånd
vallji	overflod
bordi	bord
beavdi	bord
eanan	jord
Gáivuotna	Kåfjord
olahus	rekord
gárdin	stor_gård
heajat	gjestebud
liiki	hud
áimmahuššat	holde_i_hevd
jietna	lyd
sáiti	spyd
duhtat	være_fornøyd
rávvestit	gi_råd
gilvva	sæd
heađástuvvat	komme_i_nød
átnut	be
gohččut	be
gaskit	ribbe
givssidit	mobbe
ráddi	brent_trekubbe
šloahtat	subbe
vahát	skade
hávga	gjedde
duottar	vidde
hovdet	lede
jođihit	lede
gárvvistit	forberede
earri	mengde
doarvi	tilstrekkelig_mengde
deaddu	tyngde
gieđahallat	bearbeide
várdát	speide
bealde	side
siidu	side
gáldet	gjelde
gustot	gjelde
bálkkašit	gjengjelde
bisuhit	beholde
basuhit	helligholde
buolaštit	sette_i_med_kulde
seaguhit	blande
ravgat	falle_over_ende
čuožžovaš	foreliggende
lagas	nærliggende
dáhpáhuvvat	hende
luobahit	avhende
vašálaš	fiende
njálggat	velsmakende
njiedja	synkende
oasálaš	medvirkende
loahpalaš	avgjørende
moaráskit	bli_rasende
vašáskit	bli_rasende
vuovdnái	pågående
čatnat	binde
oasti	kunde
oaivi	hode
koda	kode
metoda	metode
muvra	varde
báhkkodit	ta_til_orde
sorbmet	myrde
čuoččuhit	hevde
jeagadit	lyde
beaggit	forlyde
árbmu	nåde
ráđđet	råde
káffe	kaffe
gáfestaddat	koke_seg_kaffe
káfestaddat	koke_seg_kaffe
háhkat	skaffe
nordat	puffe
nordadit	puffe
katastrofa	katastrofe
ádjit	jage
duddjot	lage
váidit	klage
váidalit	klage
nimmorit	beklage
vuorjat	plage
vuortnuhit	plage
mieđuštit	ledsage
biđget	ødelegge
ánuhit	tigge
njiellat	svelge
bárru	bølge
doarrut	stange
dahppat	stenge
čuodjat	klinge
skillat	klinge
čuojahit	ringe
soadjá	vinge
ivdni	farge
gádjut	berge
fearga	ferge
suvdit	ferge
vuordnut	sverge
njammat	suge
njamahit	die
eaiggáduššat	eie
bálkáhit	leie
dikšu	pleie
jorrat	dreie
nagadit	greie
siedja	materie
sidja	materie
vihahit	vie
sieđga	vidje
dilljá	tilje
áigumuš	vilje
olju	olje
kampánja	kampanje
stajidit	herje
oasus	aksje
drošše	drosje
muosáhit	smake
šnjirrat	sprake
duhkoraddat	leke
cuoigut	påpeke
sárdnidit	preke
sárgut	streke
guovlat	kike
biškut	skrike
guovssat	lavskrike
Nuortariika	Østerrike
gáidat	vike
cáhpat	hakke
govččas	dekke
njaldit	flekke
doadjit	knekke
olahit	rekke
buvttihit	rekke
goallus	sammenbundet_rekke
doddjot	brekke
luoddanit	sprekke
jiellat	trekke
vanahit	strekke
rávkat	vekke
gođđit	strikke
hohkahit	lokke
gopmirdit	bukke
boaibmut	plukke
roassu	ulykke
ravget	rykke
ravgut	rykke
deaddit	trykke
deaddilit	trykke
soardit	undertrykke
bihttá	stykke
bahčit	melke
bohčit	melke
silki	silke
dulkot	tolke
goalkalit	banke
čoalkalit	banke
njoarrat	skjenke
leiket	skjenke
leaikut	skjenke
vuojuhit	senke
smiehttat	tenke
jurddašit	tenke
vávjit	mistenke
leađgut	blinke
šleađgut	blinke
coahkut	minke
ostet	barke
ráhkut	harke
čievččastit	sparke
mearka	merke
kirku	kirke
skurbat	pirke
navvit	pirke
váikkuhit	virke
viššat	orke
fidnu	yrke
šaddadit	dyrke
veahka	styrke
nannet	styrke
goikadit	tørke
sihkkut	tørke
speažžut	daske
stuhčat	plaske
máska	maske
bivdit	fiske
ráhkistit	elske
viehka	ganske
dutkat	granske
árji	ønske
muitit	huske
beassážat	påske
roahkastit	huke
golahit	bruke
loaktit	forbruke
njuorasmahttit	ydmyke
suovastit	ryke
skoarra	gråmåke
gárja	kråke
garjá	kråke
laskat	øke
leaikkastit	spøke
leikošit	spøke
iskat	undersøke
čaibmat	le
boagustit	le
seaibi	hale
duohpat	hale
goazahit	forhale
ferdnet	male
lotnut	betale
máinnašit	omtale
guossat	snuble
gávppašit	handle
juogadit	dele
dieđihit	meddele
goksit	forfordele
oppa	hele
árvvohuššat	krangle
nágget	krangle
riidalit	krangle
suoibut	vakle
giessat	vikle
njađđit	tråkle
mieđihit	bifalle
gohčodit	kalle
navdit	kalle
gállot	skalle
sealla	celle
beaškit	smelle
spoahkkalit	smelle
máinnastit	fortelle
dikšut	stelle
sirret	skille
čuoldit	skille
rátkit	skille
speallat	spille
diggot	bestille
dáhttut	ville
náhppi	trebolle
fierrat	rulle
fieradit	rulle
fierralit	rulle
vuohppát	hamle
ráhtat	skramle
čohkket	samle
duđđat	tumle
vuohčut	piple
laktit	kople
hommát	sysle
holvut	ule
sealgádit	jule
luođđa	kule
náhpi	navle
gilljut	hyle
ruodjat	skråle
gillát	tåle
čeargut	brøle
ruvssodit	rødme
rumaš	legeme
diibmu	time
seamma	samme
vavdat	stamme
čohkut	kjemme
lubma	lomme
dubmet	dømme
árvvoštallat	bedømme
vajáldahttit	glømme
miehtat	innrømme
dovddastit	innrømme
goardit	varme
hábmet	utforme
loavkašuhttit	fornærme
eksotihkka	eksotisme
loahkka	brosme
gávkat	glane
cuiggodit	formane
neavvut	formane
ásahit	ordne
buohtalastit	sideordne
lávdi	scene
soallut	pirke_tennene
rátnu	grene
ovttastahttit	forene
njuvdit	kline
roaibut	grine
nirvut	grine
vilggodit	blekne
luovdi	overtelne
čoaskut	kjølne
dásset	jamne
ávnnas	emne
garrudit	banne
bánno	steikepanne
bealkit	skjenne
čiekčat	spenne
golgat	renne
čierastallat	renne
čierastit	renne
boaldit	brenne
siste	inne
láddelaš	finne
vitta	fiskefinne
čuovgat	skinne
muittuhit	påminne
vássit	svinne
njuorra	grunne
álgit	begynne
árvidit	skjønne
jullat	drønne
gálgu	kone
deattuhit	betone
rahpat	åpne
leahkastit	åpne
leahkkut	åpne
čearret	rødnebbterne
suodjalit	verne
laigat	løsne
jávohuhttit	få_til_å_tystne
sallut	favne
ohcalit	savne
nákca	evne
mávssahit	hevne
dulbet	jevne
namuhit	nevne
nammadit	oppnevne
sadjit	bryne
láđas	fullmåne
vuonccis	høne
balahit	engste_seg_for_noe
sivdnidit	skape
ráhput	skrape
njihkut	pipe
dollet	gripe
goallu	tranlampe
váidudit	dempe
soahtat	kjempe
njámmat	sope
luhkka	skulderkappe
ložžet	slappe
vadjat	klippe
luoitit	slippe
notkat	stoppe
bisánit	stoppe
čuoččastit	stoppe
skáidnet	rispe
čárvet	klype
cikcut	klype
čárvut	klype
rievssat	rype
čákŋat	krype
doaivut	håpe
luoittihit	fare
vásihit	erfare
njoammil	hare
nagodit	klare
bistit	vare
várret	advare
vurket	oppbevare
dávistit	svare
várjalit	forsvare
buoridit	forbedre
láitit	klandre
gulahallat	forstå_hverandre
nuppástuhttit	forandre
vánddardit	vandre
muktit	endre
siskkáldas	det_indre
hehttet	hindre
eastadit	hindre
heađuštit	forhindre
uhccut	bli_mindre
julkit	dundre
speadjat	plyndre
hástit	utfordre
sonderet	sondere
funderet	fundere
lihccut	ekskludere
koreograferet	koreografere
privilegeret	privilegere
ovddit	tidligere
ovddeš	tidligere
ovdalaš	litt_tidligere
priviligeret	priviligere
muddet	korrigere
parodieret	parodiere
máŋget	kopiere
differensieret	differensiere
earuhit	differensiere
emaljeret	emaljere
čujuhit	markere
dárkkistit	kontrollere
šelget	polere
kalkuleret	kalkulere
kumuleret	kumulere
gratuleret	gratulere
komprimeret	komprimere
deformeret	deformere
noahkut	presumere
treneret	trenere
akkompagneret	akkompagnere
olgguštit	diskriminere
marineret	marinere
kondemneret	kondemnere
eksponeret	eksponere
divvut	reparere
bájuhit	referere
degenereret	degenerere
tempereret	temperere
sentreret	sentrere
čoahkáidit	konsentrere
registreret	registrere
tortureret	torturere
baseret	basere
personifiseret	personifisere
spesifiseret	spesifisere
sertifiseret	sertifisere
legaliseret	legalisere
formáliseret	formalisere
liberaliseret	liberalisere
guovdduštit	sentralisere
almmuhit	publisere
siviliseret	sivilisere
krystalliseret	krystallisere
alkoholiseret	alkoholisere
islamiseret	islamisere
organiseret	organisere
maskuliniseret	maskulinisere
kanoniseret	kanonisere
motoriseret	motorisere
prognostiseret	prognostisere
buhtadit	kompensere
buvttadit	produsere
introduseret	introdusere
fokuseret	fokusere
beaivádit	datere
ođasmahttit	oppdatere
relateret	relatere
vuoruhit	prioritere
bovdet	invitere
guossohit	traktere
vuollástit	annektere
áktet	respektere
dáhkidit	garantere
dementeret	dementere
konfronteret	konfrontere
vuostálastit	protestere
diggedit	diskutere
amputeret	amputere
rekryteret	rekrytere
intensiveret	intensivere
serveret	servere
ávvudit	feire
sihkkarastit	sikre
fuoikut	jamre
borahit	fore
dájuhit	narre
spargit	dirre
šurrat	surre
gažadit	spørre
goargŋut	klatre
oalgguhit	oppmuntre
rihkkut	overtre
gurut	venstre
njurgut	plystre
biehkut	sutre
olgguldas	ytre
jienádit	ytre
huhttát	kure
libaidit	bevre
stivret	styre
olgeš	høyre
ganjal	tåre
gudnejahttit	ære
guoddit	bære
skeŋket	forære
beallji	øre
buhtistit	reingjøre
geasehit	kjøre
vuodjit	kjøre
lihkahit	røre
gáddu	knehase
russut	frese
mátkkoštit	reise
skuvlet	undervise
bulle	ukastrert_okse
šaddat	vokse
árvvoštallan	anmeldelse
ovttastus	forbindelse
beahttu	skuffelse
eaktu	betingelse
dearvvašvuohta	helse
hoahka	gjentakelse
viivu	selvbeherskelse
gobmi	spøkelse
dutkan	undersøkelse
cealkámuš	uttalelse
dovdu	følelse
buollán	antennelse
vuolgga	opprinnelse
fiehttu	begripelse
beastit	frelse
lohpi	tillatelse
duođaštus	bekreftelse
suodjalus	beskyttelse
geahččalus	prøvelse
gietkka	komse
lihttu	allianse
liiba	sjanse
bissehit	stanse
orustit	stanse
ráddjet	begrense
šealgát	glinse
hellodagat	pinse
almmuhus	annonse
rámidit	rose
máidnut	rose
vajálduhttit	overse
kássa	kasse
luohkká	klasse
soahpat	passe
fáktet	passe
gálašit	vasse
čujuhus	adresse
hersko	delikatesse
boršut	fosse
geallat	pusse
liktet	pusse
meardi	ruse
márrat	bruse
šávvat	bruse
šuvvat	suse
juolludit	avse
šearrát	lyse
guorahallan	analyse
čuvget	opplyse
cuskit	fnyse
biekkastit	begynne_å_blåse
luvvet	løse
čoavdit	løse
gáhtta	gate
suovvat	tillate
bázahit	etterlate
guođđit	forlate
humadit	prate
háleštit	prate
čuorbi	klønete
duođaštit	bekrefte
molsut	skifte
rihpat	skrifte
gáivut	vifte
fađđut	vifte
gákti	kofte
bajidit	løfte
ráđđádallat	drøfte
áibbašit	lengte
gáskit	bite
rundit	slite
doahttalit	akte
njuovvat	slakte
fievrridit	frakte
dárkot	betrakte
bealuštit	forfekte
geatnegahttit	plikte
gáhttet	vokte
háisut	lukte
báhtarit	flykte
suddat	smelte
gomihit	velte
luomi	molte
himihit	kremte
deadjut	glimte
árvalit	ymte
skihpat	skrante
ipmi	tante
reantu	rente
ruovgat	grynte
háddjet	rote
ruivet	rote
burgit	rote
hárdit	erte
do	der_borte
báidi	skjorte
suohpput	kaste
darvehit	feste
áidna	den_eneste
listu	liste
šluvgit	riste
savdnjit	riste
savdnjilit	riste
njáskat	kviste
sahkat	puste
ruostut	ruste
fihttet	oppfatte
jiehtanas	jette
geahpedit	lette
ádju	treløs_slette
livkit	smette
máhccut	brette
luohpat	slutte
coggat	putte
nahkehit	putte
sálaš	bytte
guldalit	lytte
gávdni	nytte
ábuhit	nytte
ávkkuhit	nytte
čuolbmadit	knytte
ávkkástallat	utnytte
duvdit	støtte
doarjut	støtte
čuolbma	knute
riššat	sprute
báhčit	skyte
návddašit	nyte
nissut	snyte
gággat	bryte
botket	bryte
fággádit	bryte
heaibut	bryte
rábmot	skryte
njuoskadit	bløyte
luvvadit	bløyte
láhki	måte
vuogádat	framgangsmåte
joatkit	skjøte
lákca	fløte
dávgi	bue
jearahit	intervjue
sohpat	skave
lonuhit	heve
čorbma	knyttneve
rassat	streve
skearru	rund_skive
gaikut	rive
vuojehit	drive
čálihit	la_skrive
govvidit	beskrive
darrat	skjelve
ruvki	gruve
hoigat	skyve
hárjehaddat	øve
heivet	høve
dárbbašit	behøve
rivvet	røve
vealahit	berøve
hárjehallan	prøve
viggat	prøve
dádjut	tøve
čalbmi	øye
rávdu	røye
stoahkat	støye
šlápmat	støye
gráfa	graf
geografa	geograf
geográfa	geograf
pornográfa	pornograf
fotográfa	fotograf
govvideaddji	fotograf
beaivi	dag
bearjadat	fredag
árga	hverdag
lávvardat	lørdag
lágáš	slag
feaskkir	bislag
biehttalit	gi_avslag
gáma	komag
geasus	fradrag
illudit	glede_seg
ceavzit	holde_seg
jierásmuvvat	fryde_seg
lihkadit	bevege_seg
johtit	bevege_seg
fakŋut	strekke_seg
surggiidit	dele_seg
ovdánit	utvikle_seg
heahpanit	skamme_seg
áhtat	komme_seg
viidánit	spre_seg
čuohpadit	skjære_seg
meannudit	oppføre_seg
gulaskuddat	forhøre_seg
ihtit	vise_seg
lávda	flagg
leavga	flagg
manni	egg
monni	egg
seaidni	vegg
huksehus	bygg
čuoika	mygg
sealgi	rygg
čielgi	rygg
dorvvolaš	trygg
fasti	stygg
lášmat	smidig
juhkki	drikkfeldig
gustojeaddji	gyldig
áššálaš	skyldig
áššáskuvvat	bli_erklært_for_skyldig
neavri	elendig
vuđolaš	grundig
válmmas	ferdig
geargat	bli_ferdig
dássásaš	jevnbyrdig
stánddalaš	stødig
sitkat	seig
váigat	kjedelig
viimmat	endelig
liekkus	hyggelig
hárpmas	ergelig
surgat	sørgelig
gelbbolaš	dugelig
guttaheapme	udugelig
geahnoheapme	udugelig
lihkolaš	lykkelig
árvvoheapme	vanskelig
dohkketmeahttun	ubrukelig
duođaid	sannelig
birgemeahttun	uovervinnelig
hámálaš	staselig
gillil	utrettelig
vuogas	høvelig
dohkálaš	høvelig
unohas	uhøvelig
áddetmeahttun	uforståelig
sieiva	vanlig
dábálaš	vanlig
virolaš	sedvanlig
ásodat	bolig
jaskat	rolig
jáhkehahtti	trolig
sorbmi	noe_livsfarlig
ovddolaš	underlig
eaddut	bli_ergerlig
hearvái	herlig
vilddas	ustyrlig
rehálaš	ærlig
gieris	kjærlig
eahccit	være_kjærlig
verrošit	være_uærlig
heivetmeahttun	utilbørlig
albma	ordentlig
ealas	livlig
lágalaš	lovlig
čoaskkis	kjølig
árjjalaš	ivrig
boarka	hissig
dárkil	nøyaktig
válddálaš	mektig
geatnegas	pliktig
sivvat	forsiktig
jállu	motig
vuoigat	åpenhjertig
valli	hurtig
jođán	hurtig
ávkkálaš	nyttig
joavdelas	unyttig
sarvva	elg
čotta	svelg
salla	fang
vuolggahit	få_i_gang
čađaheapmi	gjennomgang
gárži	trang
gáržut	bli_trang
stággu	stang
álli	ilestang
streaŋga	streng
seaŋga	seng
sátta	sending
ealát	livberging
jorran	omdreiing
merken	merking
bálvvus	dyrking
mála	maling
máksu	betaling
dikšun	behandling
gálssot	vinterbelling
čallan	hornfelling
jáhkku	forestilling
riđđu	kuling
bagadeapmi	rettledning
ágga	unnskyldning
ásahus	ordning
rusttet	anordning
meinnet	mening
rehket	regning
luoitin	beregning
áhpi	vid_myrstrekning
váikkuhus	virkning
boatka	avsmalning
sivdnádus	skapning
birccostit	en_gang_kaste_terning
čuvgehus	opplysning
opposišuvdna	motsetning
njuikun	hopping
gierdu	ring
nuppástus	forandring
ávžžuhus	oppfordring
vealaheapmi	diskriminering
oamasteapmi	disponering
veaja	balansering
doarjja	sikring
dáhkádus	forsikring
julggaštus	erklæring
sveisen	sveising
meisset	messing
dušši	ingen_ting
sirdda	kortere_flytting
liepma	buljong
ságastallan	dialog
goarvi	berg
beroštupmi	omsorg
oassálastit	delta_i
cieggat	synke_i
siste	inne_i
guoskat	komme_bort_i
nuohtta	melodi
árvu	verdi
baste	skei
dolkat	bli_lei
čalmmástuvvat	bli_lei
johtolat	flyttevei
allergiija	allergi
energiija	energi
árja	energi
alva	energi
liturgiija	liturgi
bissut	forbli
čeassat	gli
rápma	skogli
homofiliija	homofili
kemiija	kjemi
leukemiija	leukemi
ekonomiija	økonomi
ruvvet	gni
seremoniija	seremoni
soagŋu	frieri
láibbohat	bakeri
guolásteapmi	fiskeri
lotteriija	lotteri
cealkit	si
einnostit	forutsi
politiijá	politi
taksi	taxi
bietna	detalj
Kárášjohka	Karasj
riššu	dusj
maŋis	bak
máistu	smak
rohpi	tak
hommá	tiltak
návccaheapme	svak
stoahka	lek
šoavkat	bleik
rašši	veik
liika	lik
soabadit	inngå_forlik
nie	slik
ná	slik
earalágán	ulik
čálat	stor_sik
spiehkastat	avvik
ceahkkut	skjære_hakk
šahkka	sjakk
šáhkka	sjakk
láhkka	lakk
máhkka	fjæremakk
hirbma	skrekk
skoađas	trekk
grafihkka	grafikk
pedagogihkka	pedagogikk
logihkka	logikk
skihkka	skikk
vilppastit	kaste_et_blikk
hydraulihkka	hydraulikk
mekanihkka	mekanikk
poliklinihkka	poliklinikk
teknihkka	teknikk
kronihkka	kronikk
elektronihkka	elektronikk
fabrihkka	fabrikk
čuokkis	prikk
fysihkka	fysikk
grammatihkka	grammatikk
etihkka	etikk
genetihkka	genetikk
estetihkka	estetikk
kritihkka	kritikk
romantihkka	romantikk
erotihkka	erotikk
lášmmohallan	gymnastikk
akustihkka	akustikk
mystihkka	mystikk
virkui	kvikk
borga	fokk
blohkka	blokk
hirsa	tømmerstokk
dimbbar	tømmerstokk
lassá	dørstokk
dajahus	uttrykk
muhkki	møkk
mielki	melk
báŋku	bank
joavdelastit	drive_dank
šearrat	blank
viissis	klok
háhppehit	være_snar_nok
roahkki	krok
párka	park
návccalaš	sterk
searalaš	sterk
agurka	agurk
soahki	bjørk
rihča	besk
beaska	pesk
čollet	sløye_fisk
biologalaš	biologisk
nuortalaš	skoltesamisk
balahahkes	mistroisk
dávggas	elastisk
muittohuvvat	bli_glemsk
muittoheapme	glømsk
dorski	torsk
fálli	hauk
dihtti	spurvehauk
dimis	myk
njavvi	lite_stryk
geavŋŋis	stort_stryk
buohcci	syk
stuibmi	bråk
lávki	løk
spivka	spøk
ávži	trang_dal
areála	areal
mielaheapme	gal
pokála	pokal
minerála	mineral
fális	kval
jođas	kabel
biibbal	bibel
biibal	bibel
gávpi	handel
oapmi	eiendel
dáhppa	nuggel
nággu	krangel
ollis	hel
siellu	sjel
oavdu	mirakel
artihkal	artikkel
jáffu	mel
gákkis	vadmel
mielli	elvemel
jahkásaš	årsgammel
albmi	himmel
njuorju	sel
buođđu	stengsel
boaldámuš	brensel
meannu	oppførsel
loakta	trivsel
čálgu	trivsel
biro	djevel
hávla	hagl
guorba	ulykkesfugl
feaila	feil
vihki	feil
speajal	speil
speadjal	speil
lusa	til
rádjai	til
lasihit	legge_til
ealáskit	livne_til
dáfus	med_hensyn_til
hoahkat	ymte_om_at_en_vil
eahpádus	tvil
áigodat	intervall
bárti	uhell
erenoamáš	spesiell
várri	fjell
kapealla	kapell
siivui	snill
speallu	spill
geallit	dra_not_med_notspill
villas	vill
kontrolla	kontroll
tuollu	toll
dievas	full
dievvat	bli_full
ráigi	hull
čitna	trekull
alkohola	alkohol
stuollu	stol
juvla	hjul
gálla	kål
ulbmil	mål
áibmi	synål
riedja	skrål
vuola	øl
láppis	lam
geaigát	stikke_fram
lodji	tam
vihtta	fem
luŋka	lem
vitmat	lærenem
Troandin	Trondheim
ritni	rim
geahkat	ymte_om
fuollat	bry_seg_om
bearri	familiesykdom
kristtalašvuohta	kristendom
gaskkas	mellom
čađa	gjennom
latnja	rom
dahkaluddat	late_som
doaimmalaš	foretaksom
hávski	morsom
somá	morsom
várrogas	aktsom
ohca	koftebarm
hápmi	form
duihmi	dum
kumma	kum
geahčči	publikum
geassu	volum
hearki	øm
njuoras	øm
šleađga	strøm
rávdnji	strøm
movt	hvordan
romána	roman
beallái	til_den_siden
ilbmi	verden
máilbmi	verden
baján	torden
čeavlái	overlegen
guovda	våt_grasslette_i_skogen
iđit	morgen
vearrái	vrien
bázahaddat	bli_igjen
báltut	få_skrekken
njiezas	vasstrukken
gievkkan	kjøkken
kievkkan	kjøkken
gallát	hvilken
loikat	bli_lunken
mieskkas	morken
eapmi	fra_fødselen
oktii	sammen
ságastallat	snakke_sammen
náđđut	krype_sammen
boatkanit	bryte_sammen
searvat	slutte_seg_sammen
gallis	noen
cielahit	gjø_på_noen
čáppis	pen
njálbmut	være_stor_i_kjeften
duskkástuvvat	bli_gretten
haga	uten
almmá	uten
gudda	gagn
gealbu	gagn
jándor	døgn
gielis	løgn
ráinnas	rein
buhtis	rein
spáillit	utemmet_kastrert_rein
vuoján	kjørerein
njoahci	sein
mašiidna	maskin
mášiidna	maskin
dihtor	datamaskin
fidjol	fiolin
appelsiidna	appelsin
bensiidna	bensin
viidna	vin
viidni	vin
bátni	tann
coahki	grunt_vann
sáiva	ferskvann
dálon	bufinn
datni	tinn
njálbmi	munn
seaggi	tynn
njárbat	tynn
bivdda	bønn
čađđa	karbon
London	London
telefuvdna	telefon
religiovdna	religion
religiuvdna	religion
spiovdna	spion
máhtolašvuohta	kvalifikasjon
máhttu	kvalifikasjon
konfirmašuvdna	konfirmasjon
informašuvdna	informasjon
našovdna	nasjon
náššuvdna	nasjon
nominašuvdna	nominasjon
operašuvdna	operasjon
ovddastus	representasjon
profešuvdna	profesjon
konsešuvdna	konsesjon
tradišuvdna	tradisjon
mišovdna	misjon
mišuvdna	misjon
miššuvdna	misjon
rekvisišuvdna	rekvisisjon
akšuvdna	aksjon
ákšuvdna	aksjon
redakšuvdna	redaksjon
sekšuvdna	seksjon
dimenšuvdna	dimensjon
olli	dimensjon
penšuvdna	pensjon
gorri	proporsjon
revolušuvdna	revolusjon
konstitušuvdna	konstitusjon
elektrovdna	elektron
peršuvdna	person
uminddet	umyndig_person
váhkar	minstebarn
čiktit	bøte_garn
geatni	sammenføyning_mellom_garn
fierbmi	fiskegarn
sáibma	ørretgarn
ruovdi	jern
bodni	botn
dolgi	dun
ruškat	gulbrun
hápman	havn
gáranas	ravn
nagir	søvn
oaidnu	syn
skuovva	sko
hilla	glo
Beahcán	Petsamo
suhkat	ro
máššu	ro
máššat	ta_det_med_ro
buddet	gro
gáddit	tro
jáhkkit	tro
oskut	tro
osku	tro
diida	overtro
goabbat	hver_av_to
gearggusvuohta	beredskap
ustitvuohta	vennskap
dáidu	kunnskap
veahkaválddálašvuohta	overgrep
skiipa	skip
doahkki	klump
háhppil	kjapp
šliettas	slapp
loažžat	slapp
goldit	rote_(grave)_opp
nuollat	vikle_opp
gárget	vikle_opp
báddat	svulme_opp
boltut	rote_opp
rahtat	sprette_opp
caggat	støtte_opp
cup	cup
čieŋal	dyp
gásta	dåp
doaivva	håp
doaivu	håp
báljis	bar
mávssolaš	dyrebar
čielggas	klar
girkat	klar
moivvas	uklar
ártet	rar
gitárra	gitar
die	der
buvttadeaddji	produksjonsleder
ahki	alder
vánhen	forelder
leaibi	older
oalgi	skulder
kaleanddar	kalender
suopmelaš	finlender
váidi	klager
ofelaš	ledsager
Porsáŋgu	Porsanger
suorbma	finger
máhka	svoger
vuoitu	seier
áittardit	passe_på_saker
greika	greker
bieđganit	gå_i_stykker
geavaheaddji	bruker
bealdu	åker
eambo	mer
eanet	mer
nummár	nummer
gaskkas	einer
biddu	vinterbelling_for_kvinner
bihppor	pepper
boahkku	småkopper
hilbošit	gjøre_spillopper
gárdut	sette_rypesnarer
huksejeaddji	tømrer
guoddi	bærer
teahter	teater
hilbat	vilter
charter	charter
